keyword,period,ratio
PHA,2024-11-25,66.25899
PHA,2024-12-02,60.93525
PHA,2024-12-09,55.75539
PHA,2024-12-16,53.52517
PHA,2024-12-23,56.25899
PHA,2024-12-30,53.23741
PHA,2025-01-06,55.61151
PHA,2025-01-13,52.15827
PHA,2025-01-20,48.34532
PHA,2025-01-27,39.92805
PHA,2025-02-03,60.50359
PHA,2025-02-10,68.20143
PHA,2025-02-17,55.75539
PHA,2025-02-24,65.39568
PHA,2025-03-03,55.97122
PHA,2025-03-10,66.6187
PHA,2025-03-17,64.17266
PHA,2025-03-24,61.22302
PHA,2025-03-31,58.41726
PHA,2025-04-07,61.43884
PHA,2025-04-14,60.35971
PHA,2025-04-21,54.67625
PHA,2025-04-28,46.18705
PHA,2025-05-05,51.00719
PHA,2025-05-12,57.91366
PHA,2025-05-19,61.51079
PHA,2025-05-26,65.82733
PHA,2025-06-02,48.41726
PHA,2025-06-09,65.82733
PHA,2025-06-16,51.00719
PHA,2025-06-23,46.25899
PHA,2025-06-30,51.79856
PHA,2025-07-07,59.13669
PHA,2025-07-14,66.33093
PHA,2025-07-21,47.98561
PHA,2025-07-28,42.58992
PHA,2025-08-04,53.741
PHA,2025-08-11,48.4892
PHA,2025-08-18,54.38848
PHA,2025-08-25,53.66906
PHA,2025-09-01,49.35251
PHA,2025-09-08,48.20143
PHA,2025-09-15,44.38848
PHA,2025-09-22,43.741
PHA,2025-09-29,36.69064
PHA,2025-10-06,29.71223
PHA,2025-10-13,47.26618
PHA,2025-10-20,45.82733
PHA,2025-10-27,43.23741
PHA,2025-11-03,54.53237
PHA,2025-11-10,44.46043
PHA,2025-11-17,46.83453
PHA,2025-11-24,53.02158
PHA,2025-12-01,54.7482
PHA,2025-12-08,61.3669
PHA,2025-12-15,39.71223
PHA,2025-12-22,40.0
PHA,2025-12-29,33.30935
PHA,2026-01-05,46.33093
PHA,2026-01-12,55.82733
PHA,2026-01-19,58.27338
PHA,2026-01-26,50.79136
PHA,2026-02-02,51.43884
PHA,2026-02-09,41.07913
PHA,2026-02-16,35.75539
PHA,2026-02-23,43.16546
PHA,2026-03-02,39.06474
PHA,2026-03-09,45.39568
PHA,2026-03-16,48.4892
PHA,2026-03-23,50.71942
PHA,2026-03-30,58.63309
PHA,2026-04-06,56.04316
PHA,2026-04-13,54.53237
PHA,2026-04-20,44.89208
PHA,2026-04-27,44.02877
PHA,2026-05-04,43.38129
PHA,2026-05-11,45.53956
PHA,2026-05-18,50.64748
PHA,2026-05-25,48.9928
PHA,2026-06-01,37.91366
PHA,2026-06-08,41.51079
PHA,2026-06-15,44.7482
PHA,2026-06-22,37.76978
각질 제거,2023-07-03,67.06772
각질 제거,2023-07-10,63.66448
각질 제거,2023-07-17,61.87693
각질 제거,2023-07-24,66.03643
각질 제거,2023-07-31,70.12719
각질 제거,2023-08-07,70.29907
각질 제거,2023-08-14,72.8429
각질 제거,2023-08-21,66.48332
각질 제거,2023-08-28,64.04262
각질 제거,2023-09-04,67.58336
각질 제거,2023-09-11,65.83018
각질 제거,2023-09-18,56.8924
각질 제거,2023-09-25,53.07665
각질 제거,2023-10-02,84.80577
각질 제거,2023-10-09,80.26813
각질 제거,2023-10-16,77.44929
각질 제거,2023-10-23,74.35544
각질 제거,2023-10-30,72.67102
각질 제거,2023-11-06,68.99278
각질 제거,2023-11-13,92.231
각질 제거,2023-11-20,93.02165
각질 제거,2023-11-27,100.0
각질 제거,2023-12-04,94.39669
각질 제거,2023-12-11,70.19594
각질 제거,2023-12-18,80.92127
각질 제거,2023-12-25,86.04331
각질 제거,2024-01-01,83.94637
각질 제거,2024-01-08,88.41526
각질 제거,2024-01-15,83.08697
각질 제거,2024-01-22,94.29357
각질 제거,2024-01-29,85.42454
각질 제거,2024-02-05,67.68649
각질 제거,2024-02-12,84.22138
각질 제거,2024-02-19,69.8178
각질 제거,2024-02-26,78.51495
각질 제거,2024-03-04,73.87418
각질 제거,2024-03-11,70.71158
각질 제거,2024-03-18,72.46476
각질 제거,2024-03-25,60.1925
각질 제거,2024-04-01,58.67995
각질 제거,2024-04-08,66.48332
각질 제거,2024-04-15,65.55517
각질 제거,2024-04-22,57.71742
각질 제거,2024-04-29,59.91749
각질 제거,2024-05-06,65.7958
각질 제거,2024-05-13,64.9364
각질 제거,2024-05-20,66.13956
각질 제거,2024-05-27,67.30835
각질 제거,2024-06-03,68.06462
각질 제거,2024-06-10,66.13956
각질 제거,2024-06-17,63.87074
각질 제거,2024-06-24,59.40185
각질 제거,2024-07-01,53.31729
각질 제거,2024-07-08,52.52664
각질 제거,2024-07-15,53.24853
각질 제거,2024-07-22,49.50154
각질 제거,2024-07-29,51.39223
각질 제거,2024-08-05,51.83911
각질 제거,2024-08-12,63.32072
각질 제거,2024-08-19,66.5177
각질 제거,2024-08-26,58.09556
각질 제거,2024-09-02,60.1925
각질 제거,2024-09-09,50.29219
각질 제거,2024-09-16,50.60158
각질 제거,2024-09-23,56.47988
각질 제거,2024-09-30,62.53007
각질 제거,2024-10-07,60.94877
각질 제거,2024-10-14,53.93606
각질 제거,2024-10-21,52.38913
각질 제거,2024-10-28,58.71433
각질 제거,2024-11-04,63.83636
각질 제거,2024-11-11,57.57992
각질 제거,2024-11-18,62.97696
각질 제거,2024-11-25,62.11756
각질 제거,2024-12-02,75.07734
각질 제거,2024-12-09,86.35269
각질 제거,2024-12-16,81.19628
각질 제거,2024-12-23,67.92712
각질 제거,2024-12-30,63.52698
각질 제거,2025-01-06,64.83327
각질 제거,2025-01-13,64.69577
각질 제거,2025-01-20,51.04847
각질 제거,2025-01-27,60.9144
각질 제거,2025-02-03,69.6803
각질 제거,2025-02-10,64.04262
각질 제거,2025-02-17,66.13956
각질 제거,2025-02-24,62.11756
각질 제거,2025-03-03,51.66723
각질 제거,2025-03-10,45.92643
각질 제거,2025-03-17,48.77964
각질 제거,2025-03-24,42.42007
각질 제거,2025-03-31,46.6827
각질 제거,2025-04-07,45.47954
각질 제거,2025-04-14,44.31075
각질 제거,2025-04-21,40.18563
각질 제거,2025-04-28,41.8013
각질 제거,2025-05-05,45.72017
각질 제거,2025-05-12,42.14506
각질 제거,2025-05-19,40.42626
