category,period,ratio
선케어,2025-07-14,44.80713
선케어,2025-07-21,49.62508
선케어,2025-07-28,46.26811
선케어,2025-08-04,32.28264
선케어,2025-08-11,25.86282
선케어,2025-08-18,26.21471
선케어,2025-08-25,24.5254
선케어,2025-09-01,22.64642
선케어,2025-09-08,17.85928
선케어,2025-09-15,16.57239
선케어,2025-09-22,15.33798
선케어,2025-09-29,12.67596
선케어,2025-10-06,13.95594
선케어,2025-10-13,15.29064
선케어,2025-10-20,14.14063
선케어,2025-10-27,14.43251
선케어,2025-11-03,14.61479
선케어,2025-11-10,13.80014
선케어,2025-11-17,13.38166
선케어,2025-11-24,12.80593
선케어,2025-12-01,13.70194
선케어,2025-12-08,12.52705
선케어,2025-12-15,12.06461
선케어,2025-12-22,11.52386
선케어,2025-12-29,12.53219
선케어,2026-01-05,14.28633
선케어,2026-01-12,15.10291
선케어,2026-01-19,13.94888
선케어,2026-01-26,14.52124
선케어,2026-02-02,14.83799
선케어,2026-02-09,13.74349
선케어,2026-02-16,16.50307
선케어,2026-02-23,18.28963
선케어,2026-03-02,19.46018
선케어,2026-03-09,20.09351
선케어,2026-03-16,21.27995
선케어,2026-03-23,23.92175
선케어,2026-03-30,24.36462
선케어,2026-04-06,25.67509
선케어,2026-04-13,29.29569
선케어,2026-04-20,33.69468
선케어,2026-04-27,27.40307
선케어,2026-05-04,29.01617
선케어,2026-05-11,30.86643
선케어,2026-05-18,27.69832
선케어,2026-05-25,28.15049
선케어,2026-06-01,29.77258
선케어,2026-06-08,27.59338
선케어,2026-06-15,26.31163
선케어,2026-06-22,23.90217
선케어,2026-06-29,25.98413
클렌징,2023-07-03,93.70351
클렌징,2023-07-10,90.3372
클렌징,2023-07-17,85.5681
클렌징,2023-07-24,85.52965
클렌징,2023-07-31,94.27907
클렌징,2023-08-07,96.37657
클렌징,2023-08-14,95.86148
클렌징,2023-08-21,94.54249
클렌징,2023-08-28,100.0
클렌징,2023-09-04,96.38406
클렌징,2023-09-11,90.69336
클렌징,2023-09-18,82.10038
클렌징,2023-09-25,66.03955
클렌징,2023-10-02,89.70617
클렌징,2023-10-09,88.85737
클렌징,2023-10-16,79.12281
클렌징,2023-10-23,79.45857
클렌징,2023-10-30,88.11598
클렌징,2023-11-06,83.93007
클렌징,2023-11-13,83.08097
클렌징,2023-11-20,81.26742
클렌징,2023-11-27,84.66631
클렌징,2023-12-04,79.94813
클렌징,2023-12-11,73.65209
클렌징,2023-12-18,64.01659
클렌징,2023-12-25,65.38548
클렌징,2024-01-01,77.45455
클렌징,2024-01-08,70.62668
클렌징,2024-01-15,65.93609
클렌징,2024-01-22,65.99229
클렌징,2024-01-29,68.48324
클렌징,2024-02-05,56.31805
클렌징,2024-02-12,76.55203
클렌징,2024-02-19,70.78561
클렌징,2024-02-26,67.77253
클렌징,2024-03-04,65.4524
클렌징,2024-03-11,61.31843
클렌징,2024-03-18,64.95829
클렌징,2024-03-25,61.98527
클렌징,2024-04-01,62.5033
클렌징,2024-04-08,62.07112
클렌징,2024-04-15,63.83829
클렌징,2024-04-22,61.3965
클렌징,2024-04-29,64.63368
